Address,Price,Area,Measurement,Property Type,URL
22 Highway 789,1,53.0,acres,LOT,https://www.zillow.com/homedetails/22-Highway-789-Monticello-KY-42633/343859885_zpid/
0 Bugwood Rd,106000,48.0,acres,LOT,https://www.zillow.com/homedetails/0-Bugwood-Rd-Monticello-KY-42633/2067850527_zpid/
0 Chesnut Grove Road Off,325800,181.06999540863177,acres,LOT,https://www.zillow.com/homedetails/0-Chesnut-Grove-Road-Off-Monticello-KY-42633/2057633570_zpid/
100 Lonesome Rd,215000,100.0,acres,LOT,https://www.zillow.com/homedetails/100-Lonesome-Rd-Monticello-KY-42633/2054336380_zpid/
0 Camp Earl Wallace Rd,475000,53.0,acres,LOT,https://www.zillow.com/homedetails/0-Camp-Earl-Wallace-Rd-Monticello-KY-42633/343847703_zpid/
10 Carter Dock Rd,85200,13.95,acres,LOT,https://www.zillow.com/homedetails/10-Carter-Dock-Rd-Monticello-KY-42633/344120320_zpid/
826 Castle St,190000,77.48999081726355,acres,LOT,https://www.zillow.com/homedetails/826-Castle-St-Monticello-KY-42633/2054118765_zpid/
988 Blue Hole Rd,299900,304.0,acres,LOT,https://www.zillow.com/homedetails/988-Blue-Hole-Rd-Monticello-KY-42633/2076934162_zpid/
5 Carter Dock Rd,49500,5.589990817263544,acres,LOT,https://www.zillow.com/homedetails/5-Carter-Dock-Rd-Monticello-KY-42633/344120144_zpid/
8 Cumberland Xing,9500,2.1899908172635447,acres,LOT,https://www.zillow.com/homedetails/8-Cumberland-Xing-Monticello-KY-42633/2063513774_zpid/
LOT-131C Cumberland Xing,19900,6.019995408631773,acres,LOT,https://www.zillow.com/homedetails/LOT-131C-Cumberland-Xing-Monticello-KY-42633/2054281120_zpid/
14 Lakepoint View Rd,24000,6.339990817263544,acres,LOT,https://www.zillow.com/homedetails/14-Lakepoint-View-Rd-Monticello-KY-42633/2077821360_zpid/
8 Carter Dock Rd,64400,7.960009182736456,acres,LOT,https://www.zillow.com/homedetails/8-Carter-Dock-Rd-Monticello-KY-42633/344120164_zpid/
87 Cumberland Xing,9900,0.8,acres,LOT,https://www.zillow.com/homedetails/87-Cumberland-Xing-Monticello-KY-42633/2057396601_zpid/
6 Carter Dock Rd,54400,6.519995408631773,acres,LOT,https://www.zillow.com/homedetails/6-Carter-Dock-Rd-Monticello-KY-42633/344120145_zpid/
9 Carter Dock Rd,59900,7.4300045913682276,acres,LOT,https://www.zillow.com/homedetails/9-Carter-Dock-Rd-Monticello-KY-42633/344120319_zpid/
LOT 131a&b Cumberland Shrs,30000,6.75,acres,LOT,https://www.zillow.com/homedetails/LOT-131ab-Cumberland-Shrs-Monticello-KY-42633/2054332956_zpid/
3263 Lower Turkey Creek Rd,115000,9.139990817263545,acres,LOT,https://www.zillow.com/homedetails/3263-Lower-Turkey-Creek-Rd-Monticello-KY-42633/2060817145_zpid/
10 Ritner Rd,483000,110.0,acres,LOT,https://www.zillow.com/homedetails/10-Ritner-Rd-Monticello-KY-42633/2068420655_zpid/
LOT 66 Sandstone Point Trl,17900,1.0,acres,LOT,https://www.zillow.com/homedetails/LOT-66-Sandstone-Point-Trl-Monticello-KY-42633/2052933944_zpid/
41 Cumberland Xing,34900,0.6600091827364555,acres,LOT,https://www.zillow.com/homedetails/41-Cumberland-Xing-Monticello-KY-42633/2057364720_zpid/
Lots Beaver Lodge Subdivision,39900,2.1899908172635447,acres,LOT,https://www.zillow.com/homedetails/Lots-Beaver-Lodge-Subdivision-Monticello-KY-42633/2054181160_zpid/
182 Acres Hwy #674,549900,182.0,acres,LOT,https://www.zillow.com/homedetails/182-Acres-Hwy-674-Monticello-KY-42633/2057543212_zpid/
3041 Highway 3285,370000,53.41999540863177,acres,LOT,https://www.zillow.com/homedetails/3041-Highway-3285-Monticello-KY-42633/2052916251_zpid/
LOT 8 Rocky Rd,54900,2.1399999999999997,acres,LOT,https://www.zillow.com/homedetails/LOT-8-Rocky-Rd-Monticello-KY-42633/2052923238_zpid/
17 Cumberland Xing,18900,1.8699954086317723,acres,LOT,https://www.zillow.com/homedetails/17-Cumberland-Xing-Monticello-KY-42633/2063511982_zpid/
0 Highway 167,13000,2.9699954086317724,acres,LOT,https://www.zillow.com/homedetails/0-Highway-167-Monticello-KY-42633/2056416280_zpid/
774 Hickory Point Dr,60000,5.0,acres,LOT,https://www.zillow.com/homedetails/774-Hickory-Point-Dr-Monticello-KY-42633/2055230273_zpid/
44 Green Hill Estates Rd,75000,0.5600091827364555,acres,LOT,https://www.zillow.com/homedetails/44-Green-Hill-Estates-Rd-Monticello-KY-42633/2070765585_zpid/
32 Sandstone Point Trl,39900,1.0699954086317722,acres,LOT,https://www.zillow.com/homedetails/32-Sandstone-Point-Trl-Monticello-KY-42633/2052934610_zpid/
80 Deer Trl,31000,2.5899908172635446,acres,LOT,https://www.zillow.com/homedetails/80-Deer-Trl-Monticello-KY-42633/2052932605_zpid/
1049 Golce Dean Rd,84900,5.5100091827364555,acres,LOT,https://www.zillow.com/homedetails/1049-Golce-Dean-Rd-Monticello-KY-42633/2069927674_zpid/
21 Jim Boston Rd,136500,21.060009182736454,acres,LOT,https://www.zillow.com/homedetails/21-Jim-Boston-Rd-Monticello-KY-42633/2053832044_zpid/
8586 Green Hill Ct,44900,1.3,acres,LOT,https://www.zillow.com/homedetails/8586-Green-Hill-Ct-Monticello-KY-42633/2067825902_zpid/
LOT 7 Sandstone Point Trl,30000,5.7,acres,LOT,https://www.zillow.com/homedetails/LOT-7-Sandstone-Point-Trl-Monticello-KY-42633/2054287430_zpid/
1430 Highway 1479,204900,16.2,acres,LOT,https://www.zillow.com/homedetails/1430-Highway-1479-Monticello-KY-42633/2052981808_zpid/
68 Hickory Point Dr,31500,2.419995408631772,acres,LOT,https://www.zillow.com/homedetails/68-Hickory-Point-Dr-Monticello-KY-42633/2086590631_zpid/
1843 Highway 2393 #17,59900,0.64,acres,LOT,https://www.zillow.com/homedetails/1843-Highway-2393-17-Monticello-KY-42633/2053585868_zpid/
97 Wild Rose Dr,15500,0.8199954086317722,acres,LOT,https://www.zillow.com/homedetails/97-Wild-Rose-Dr-Monticello-KY-42633/2052932541_zpid/
300 Danny Hughes Rd,439900,154.0,acres,LOT,https://www.zillow.com/homedetails/300-Danny-Hughes-Rd-Monticello-KY-42633/339899607_zpid/
878 Horizon Loop,575000,40.0,acres,LOT,https://www.zillow.com/homedetails/878-Horizon-Loop-Monticello-KY-42633/2067077346_zpid/
